Subject,Predicate,Object,Section,Organism,PMCID
AnaplasticPleomorphicXanthoastrocytoma,hasAssociatedMutationIn,BRAF                  ,,,
AngiocentricGlioma,hasAssociatedMutationIn,MYB                  ,,,
Astroblastoma,hasAssociatedMutationIn,MN1                  ,,,
Astrocytoma,hasAssociatedMutationIn,(IDH1 or IDH2)                ,,,
Astrocytoma,hasAssociatedMutationIn,(WorldHealthOrganization_II or WorldHealthOrganization_III or WorldHealthOrganization_IV)              ,,,
AutosomalDominantNocturnalFrontalLobeEpilepsy,hasAssociatedMutationIn,(CHRNA2 or CHRNA4 or CHRNB2)              ,,,
AutosomalDominantPartialEpilepsyWithAuditoryFeatures,hasAssociatedMutationIn,LGI1                  ,,,
ChronicProgressiveEpilepsiaPartialisContinuaofChildhood,hasAssociatedMutationIn,(CCL22 or CCL23 or CCL5 or CXCL10 or CXCL9 or STXBP1)        ,,,
DiffuseAstrocytoma,hasAssociatedMutationIn,(MYB or MYBL1)                ,,,
DiffuseHighGradeGlioma,hasAssociatedMutationIn,(H3-3A or IDH1 or IDH2)              ,,,
DiffuseLowGradeGlioma,hasAssociatedMutationIn,FGFR                  ,,,
DiffuseMidlineGlioma,hasAssociatedMutationIn,H3-3A                  ,,,
DravetSyndrome,hasAssociatedMutationIn,SCN1A                  ,,,
DysembryoplasticNeuroepithelialTumor,hasAssociatedMutationIn,only FGFR                 ,,,
EpendymomaRELA-FusionPositive,hasAssociatedMutationIn,RELA                  ,,,
EpilepsyWithGeneralTonicClonicSeizureOnAwakening,hasAssociatedMutationIn,EFHC1                  ,,,
Ganglioglioma,hasAssociatedMutationIn,only BRAF                 ,,,
GeneralizedEpilepsyWithFebrileSeizuresPlus,hasAssociatedMutationIn,(GABRD or GABRG2 or SCN1A or SCN1B or SCN2A)          ,,,
GlioblastomaMultiforme,hasAssociatedMutationIn,(IDH1 or IDH2)                ,,,
HypothalamicEpilepsy,hasAssociatedMutationIn,GLI3                  ,,,
HypothalamicHamartoma,hasAssociatedMutationIn,GLI3                  ,,,
IsomorphicDiffuseGlioma,hasAssociatedMutationIn,MYBL1                  ,,,
JuvenileAbsenceEpilepsy,hasAssociatedMutationIn,CACNA1H                  ,,,
JuvenileMyoclonicEpilepsy,hasAssociatedMutationIn,(CACNB4 or CLCN2 or EFHC1 or GABRA1 or GABRD)          ,,,
MyxoidGlioneuronalTumor,hasAssociatedMutationIn,PDGFR                  ,,,
PapillaryGlioneuronalTumor,hasAssociatedMutationIn,PRKCA                  ,,,
PilocyticAstrocytoma,hasAssociatedMutationIn,(BRAF or KIAA1549)                ,,,
PolymorphousLow-gradeNeuroepithelialTumoroftheYoung,hasAssociatedMutationIn,(BRAF or FGFR)                ,,,
PrimaryReadingEpilepsy,hasAssociatedMutationIn,(CACNB4 or CLCN2 or EFHC1 or GABRA1 or GABRD)          ,,,
SubependymalGiantCellAstrocytoma,hasAssociatedMutationIn,(TSC1 or TSC2)                ,,,
GliosisWithoutHS,hasAstrogliosisValue,((Gliosis and (isLocatedAt only CA1Field)) or (ModerateAstrogliosis and (isLocatedAt only CA1Field))),,,
GliosisWithoutHS,hasAstrogliosisValue,((Gliosis and (isLocatedAt only CA2Field)) or (ModerateAstrogliosis and (isLocatedAt only CA2Field))),,,
GliosisWithoutHS,hasAstrogliosisValue,((Gliosis and (isLocatedAt only CA3Field)) or (ModerateAstrogliosis and (isLocatedAt only CA3Field))),,,
GliosisWithoutHS,hasAstrogliosisValue,((Gliosis and (isLocatedAt only CA4Field)) or (ModerateAstrogliosis and (isLocatedAt only CA4Field))),,,
GliosisWithoutHS,hasAstrogliosisValue,((Gliosis and (isLocatedAt only DentateGyrusHippocampus)) or (ModerateAstrogliosis and (isLocatedAt only DentateGyrusHippocampus))),,,
GliosisWithoutHS,hasAstrogliosisValue,((Gliosis and (isLocatedAt only Subiculum)) or (ModerateAstrogliosis and (isLocatedAt only Subiculum))),,,
HSType1,hasAstrogliosisValue,((FibrillaryAstrogliosis and (isLocatedAt only CA2Field)) or (Gliosis and (isLocatedAt only CA2Field)) or (ModerateAstrogliosis and (isLocatedAt only CA2Field))),,,
HSType1,hasAstrogliosisValue,((FibrillaryAstrogliosis and (isLocatedAt only CA3Field)) or (Gliosis and (isLocatedAt only CA3Field)) or (ModerateAstrogliosis and (isLocatedAt only CA3Field))),,,
HSType1,hasAstrogliosisValue,((FibrillaryAstrogliosis and (isLocatedAt only DentateGyrusHippocampus)) or (Gliosis and (isLocatedAt only DentateGyrusHippocampus))or(ModerateAstrogliosisand(isLocatedAtonlyDentateGyrusHippocampus))),,,
HSType1,hasAstrogliosisValue,((Gliosis and (isLocatedAt only Subiculum)) or (ModerateAstrogliosis and (isLocatedAt only Subiculum))),,,
HSType1,hasAstrogliosisValue,(FibrillaryAstrogliosis and (isLocatedAt only CA1Field))              ,,,
HSType1,hasAstrogliosisValue,(FibrillaryAstrogliosis and (isLocatedAt only CA4Field))              ,,,
HSType2,hasAstrogliosisValue,((FibrillaryAstrogliosis and (isLocatedAt only CA1Field)) or (ModerateAstrogliosis and (isLocatedAt only CA1Field))),,,
HSType2,hasAstrogliosisValue,((Gliosis and (isLocatedAt only CA2Field)) or (ModerateAstrogliosis and (isLocatedAt only CA2Field))),,,
HSType2,hasAstrogliosisValue,((Gliosis and (isLocatedAt only CA3Field)) or (ModerateAstrogliosis and (isLocatedAt only CA3Field))),,,
