Subject,Predicate,Object,Section,Organism,PMCID
ChronicDissociatedCellCulture,rdfs:label,Chronic dissociated culture                  ,,,
CingulateGyrus,rdfs:label,Cingular                  ,,,
CingulateSegment,rdfs:label,Cingular                  ,,,
Macrophage,rdfs:label,Clasmatocyte                  ,,,
HSType1,rdfs:label,ClassicalSeverePatternsHippocampalSclerosis                  ,,,
ClinicalCareManagement,rdfs:label,Clinical Care Management                  ,,,
ClinicalOnset,rdfs:label,Clinical onset of seizure                  ,,,
ClinicalSeizureEnd,rdfs:label,Clinical Seizure End                  ,,,
CLN8,rdfs:label,"CLN8, transmembrane ER and ERGIC protein                  ",,,
ClonicSeizure,rdfs:label,Clonic Seizure                  ,,,
ClonicStatus,rdfs:label,Clonic Status                  ,,,
ClonicTonicClonicStatus,rdfs:label,Clonic Tonic Clonic Status                  ,,,
ClonicTonicClonicSeizure,rdfs:label,Clonic-tonic-clonic Seizure                  ,,,
SeizureCluster,rdfs:label,ClusterOfSeizure                  ,,,
CyclicNucleotidePhosphodiesterase,rdfs:label,CNPase                  ,,,
CoagulopathyHemorrhage,rdfs:label,Coagulopathy Hemorrhage                  ,,,
DihydropyrimidinaseRelatedProtein5,rdfs:label,collapsin response mediator protein 5                  ,,,
ColloidBrainCyst,rdfs:label,Colloid brain cyst                  ,,,
ColloidBrainCyst,rdfs:label,Colloid brain cyst (disorder)                  ,,,
CombinedDexamethasoneCorticotropinReleasingHormoneTest,rdfs:label,Combined dexamethasone-corticotropin releasing hormone test                  ,,,
ComplexAuditoryAura,rdfs:label,Complex Auditory Aura                  ,,,
ComplexAuditoryAuraStatus,rdfs:label,Complex Auditory Aura Status                  ,,,
ComplexMotorSeizure,rdfs:label,Complex Motor Seizure                  ,,,
ComplexMotorStatus,rdfs:label,Complex Motor Status                  ,,,
ComplexVisualHallucination,rdfs:label,Complex Visual Hallucination                  ,,,
ComplexVisualHallucinationStatus,rdfs:label,Complex Visual Hallucination Status                  ,,,
ConditionedStimulus,rdfs:label,Conditioned stimulus                  ,,,
CongenitalAbnormalityofSkullandFaceBones,rdfs:label,Congenital abnormality of skull and face bones (disorder)                  ,,,
CongenitalAnomalyofHead,rdfs:label,Congenital anomaly of head (disorder)                  ,,,
CongenitalAnomalyofSkull,rdfs:label,Congenital anomaly of skull (disorder)                  ,,,
CongentialCerebralCyst,rdfs:label,Congenital cerebral cyst                  ,,,
CongentialCerebralCyst,rdfs:label,Congenital cerebral cyst (disorder)                  ,,,
CNTN2,rdfs:label,contactin 2                  ,,,
ContextualandCuedFearConditioning,rdfs:label,Contextual and cued fear conditioning                  ,,,
ContinuousSlowActivity,rdfs:label,Continuous Slow                  ,,,
ClonicSeizure,rdfs:label,ConvulsiveMotorSeizure                  ,,,
ClonicTonicClonicSeizure,rdfs:label,ConvulsiveMotorSeizure                  ,,,
EpilepticSpasm,rdfs:label,ConvulsiveMotorSeizure                  ,,,
HemiClonicSeizure,rdfs:label,ConvulsiveMotorSeizure                  ,,,
MyoclonicSeizure,rdfs:label,ConvulsiveMotorSeizure                  ,,,
TonicClonicSeizure,rdfs:label,ConvulsiveMotorSeizure                  ,,,
TonicSeizure,rdfs:label,ConvulsiveMotorSeizure                  ,,,
CA1Field,rdfs:label,Cornu Ammonis 1                  ,,,
CA2Field,rdfs:label,Cornu Ammonis 2                  ,,,
CA3Field,rdfs:label,Cornu Ammonis 3                  ,,,
CorticalCellCulture,rdfs:label,Cortical                  ,,,
FocalCorticalDysplasia,rdfs:label,Cortical Dysplasia                  ,,,
CRH,rdfs:label,corticotropin releasing hormone                  ,,,
DihydropyrimidinaseRelatedProtein5,rdfs:label,CRAM                  ,,,
AnatomicalPointofSkull,rdfs:label,Cranial osteometric point                  ,,,
Encephalocele,rdfs:label,Craniocele                  ,,,
Cranioschisis,rdfs:label,Cranium bifidum                  ,,,
DihydropyrimidinaseRelatedProtein5,rdfs:label,CRMP3-associated molecule                  ,,,
DihydropyrimidinaseRelatedProtein5,rdfs:label,CRMP-5                  ,,,
CDKL5,rdfs:label,cyclin dependent kinase like 5                  ,,,
Cyclops,rdfs:label,Cyclocephaly                  ,,,
Cyst,rdfs:label,Cyst (disorder)                  ,,,
CentralNervousSystemCyst,rdfs:label,Cyst of central nervous system (disorder)                  ,,,
PinealGlandCyst,rdfs:label,Cyst of pineal gland (disorder)                  ,,,
SeptumPellucidumCyst,rdfs:label,Cyst of septum pellucidum (disorder)                  ,,,
CSTB,rdfs:label,cystatin B                  ,,,
CSRNP3,rdfs:label,cysteine and serine rich nuclear protein 3                  ,,,
CysticLeucoencephalopathywithoutMegalencephaly,rdfs:label,Cystic leucoencephalopathy without megalencephaly                  ,,,
DeficitsinAttentionMotorControlandPerception,rdfs:label,DAMP                  ,,,
DecreasedAsymmetryPattern,rdfs:label,Decreased Asymmetry Pattern                  ,,,
SkullOssificationDefect,rdfs:label,Defect of skull ossification (disorder)                  ,,,
DeficitsinAttentionMotorControlandPerception,rdfs:label,Deficits in attention motor control and perception                  ,,,
DefiniteSuddenUnexpectedDeathinEpilepsy,rdfs:label,Definite SUDEP                  ,,,
DegenerativeAbnormality,rdfs:label,Degenerative abnormality (morphologic abnormality)                  ,,,
DejaVu,rdfs:label,Deja Vu                  ,,,
DejaVuStatus,rdfs:label,Deja Vu Status                  ,,,
DelayedMembranousCranialOssification,rdfs:label,Delayed membranous cranial ossification (disorder)                  ,,,
DeletionVariant,rdfs:label,Deletion                  ,,,
DeltaComaPattern,rdfs:label,Delta Coma                  ,,,
DeltaStuporPattern,rdfs:label,Delta Stupor                  ,,,
DentateGyrusHippocampus,rdfs:label,Dentate gyrus                  ,,,
DentateGranule,rdfs:label,DentateGranuleCell                  ,,,
DEPDC5,rdfs:label,DEP domain containing 5                  ,,,
Depakene,rdfs:label,Depakene®                  ,,,
DepakoteER,rdfs:label,Depakote ER®                  ,,,
Depakote,rdfs:label,Depakote®                  ,,,
BrainDermoidCyst,rdfs:label,Dermoid cyst of brain (disorder)                  ,,,
DevelopmentalLanguageDisorder,rdfs:label,Developmental language disorder                  ,,,
CombinedDexamethasoneCorticotropinReleasingHormoneTest,rdfs:label,DEXCRH                  ,,,
DialepticSeizure,rdfs:label,Dialeptic Seizure                  ,,,
DialepticStatus,rdfs:label,Dialeptic Status                  ,,,
DiencephalonAnteriorTubercle,rdfs:label,Diencephalon Anterior Tubercle                  ,,,
DiencephalonNeuralTissue,rdfs:label,Diencephalon Neural Tissue                  ,,,
DiencephalonZone,rdfs:label,Diencephalon Zone                  ,,,
DiffuseAstrocytoma,rdfs:label,Diffuse Astrocytoma                  ,,,
DiffuseGlioma,rdfs:label,Diffuse Glioma                  ,,,
DiffuseHighGradeGlioma,rdfs:label,Diffuse High Grade Glioma                  ,,,
DiffuseLowGradeGlioma,rdfs:label,Diffuse Low Grade Glioma                  ,,,
DiffuseMidlineGlioma,rdfs:label,Diffuse Midline Glioma                  ,,,
Dilantin,rdfs:label,Dilantin®                  ,,,
DiplopiaStatus,rdfs:label,Diplopia Status                  ,,,
Disease,rdfs:label,Disorder                  ,,,
POLG,rdfs:label,"DNA polymerase gamma, catalytic subunit                  ",,,
DeltaNotchLikeEpidermalGrowthFactorRelatedReceptor,rdfs:label,DNER                  ,,,
DeltaNotchEpidermalGrowthFactorReceptorAssociatedEncephalitis,rdfs:label,DNERAssociatedEncephalitis                  ,,,
DysembryoplasticNeuroepithelialTumor,rdfs:label,DNET                  ,,,
DysembryoplasticNeuroepithelialTumor,rdfs:label,DNT                  ,,,
DopamineHydrochloride,rdfs:label,Dopamine hydrochloride                  ,,,
DorsalHypothalamicArea,rdfs:label,Dorsal Hypothalamic Area                  ,,,
8-OH-DPAT-InducedHypothermia,rdfs:label,DPAT                  ,,,
DipeptidylPeptidaseLikeProtein6,rdfs:label,DPPX                  ,,,
DipeptidylPeptidaselikeProtein6AssociatedEncephalitis,rdfs:label,DPPXAssociatedEncephalitis                  ,,,
DihydropyrimidinaseRelatedProtein5,rdfs:label,DPYSL5                  ,,,
DihydropyrimidinaseRelatedProtein5AssociatedEncephalitis,rdfs:label,DPYSL5AssociatedEncephalitis                  ,,,
DisassociatedRodentDerivedCellCulture,rdfs:label,DRDCC                  ,,,
DropSeizure,rdfs:label,DropAttack                  ,,,
DihydropyrimidinaseRelatedProtein5,rdfs:label,DRP-5                  ,,,
DelayedSleepPhaseSyndrome,rdfs:label,DSPS                  ,,,
DiffusionTensorImaging,rdfs:label,DTI                  ,,,
DualPathology,rdfs:label,Dual pathology                  ,,,
DuplicationVariant,rdfs:label,Duplication                  ,,,
DiffusionWeightedImaging,rdfs:label,DWI                  ,,,
DynamicContrast-enhancedMagneticResonanceImaging,rdfs:label,dynamic contrast-enhanced MRI                  ,,,
DysembryoplasticNeuroepithelialTumor,rdfs:label,Dysembryoplastic Neuroepithelial Tumor                  ,,,
DysmetropsiaStatus,rdfs:label,Dysmetropsia Status                  ,,,
IctalDystonia,rdfs:label,Dystonic Posturing                  ,,,
ElectrocardiographyData,rdfs:label,ECG label                  ,,,
Electroencephalogram,rdfs:label,EEG                  ,,,
ElectroencephalographyData,rdfs:label,EEG data                  ,,,
ElectroencephalogramEvent,rdfs:label,EEG event                  ,,,
EEGSeizureEnd,rdfs:label,EEG Seizure End                  ,,,
ElectroencephalogramSuppression,rdfs:label,EEG Suppression                  ,,,
ElectroencephalogramPattern,rdfs:label,EEGPattern                  ,,,
SeizurePattern,rdfs:label,EEG-SZ                  ,,,
EFHC1,rdfs:label,EF-hand domain (C-terminal) containing 1                  ,,,
Electroencephalogram,rdfs:label,Electroencephalography                  ,,,
ElectrophysiologicalData,rdfs:label,Electrophysiological data                  ,,,
ElementaryAuditoryAuraStatus,rdfs:label,Elementary Auditory Aura Status                  ,,,
ElevatedPlusMaze,rdfs:label,Elevated plus maze                  ,,,
EmeticSeizure,rdfs:label,Emetic Seizure                  ,,,
ClonicSeizureEnd,rdfs:label,End of Clonic Phase                  ,,,
ContinuousSlowActivityEnd,rdfs:label,End of Continuous Slow                  ,,,
EEGSuppressionEnd,rdfs:label,End of EEG Suppression                  ,,,
IntermittentSlowActivityEnd,rdfs:label,End of Intermittent Slow                  ,,,
JitteryPhaseEnd,rdfs:label,End of Jittery Phase                  ,,,
ParadoxicalClonus,rdfs:label,End of seizure paradoxical clonus                  ,,,
HSType3,rdfs:label,EndfoliumSclerosis                  ,,,
Cannabinol,rdfs:label,Endocannabinoid                  ,,,
EndocrineResponseToTheImmobilizationStress,rdfs:label,Endocrine response to the immobilization stress                  ,,,
BrainVentricleEpendymalCyst,rdfs:label,Ependymal cyst of ventricle of brain (disorder)                  ,,,
EpilepticSeizure,rdfs:label,Epileptic Seizure                  ,,,
EpilepticSpasm,rdfs:label,Epileptic Spasm                  ,,,
EpilepticSpasmStatus,rdfs:label,Epileptic Spasm Status                  ,,,
EpileptogenicZone,rdfs:label,Epileptogenic Zone                  ,,,
LeucineRichGliomaInactivatedProtein1,rdfs:label,Epitempin-1                  ,,,
ElevatedPlusMaze,rdfs:label,EPM                  ,,,
EPM2A,rdfs:label,"EPM2A, laforin glucan phosphatase                  ",,,
LeucineRichGliomaInactivatedProtein1,rdfs:label,EPT                  ,,,
ExcessiveFastPattern,rdfs:label,Excessive Fast Pattern                  ,,,
ExternalAnatomicalCoordinate,rdfs:label,External                  ,,,
EyelidMyoclonia,rdfs:label,Eyelid myoclonia                  ,,,
FAN1,rdfs:label,FANCD2 and FANCI associated nuclease 1                  ,,,
FrontalArousalRhythm,rdfs:label,FAR                  ,,,
DentateGyrusHippocampus,rdfs:label,Fascia dentata                  ,,,
DentateGyrusHippocampus,rdfs:label,Fascia dentata (Crosby)                  ,,,
DentateGyrusHippocampus,rdfs:label,Fascia dentata hippocampi (Shantha)                  ,,,
FocalCorticalDysplasia,rdfs:label,FCD                  ,,,
FocalCorticalDysplasiaTypeIA,rdfs:label,FCD Type IA                  ,,,
FocalCorticalDysplasiaTypeIB,rdfs:label,FCD Type IB                  ,,,
FocalCorticalDysplasiaTypeIC,rdfs:label,FCD Type IC                  ,,,
FocalCorticalDysplasiaTypeIIA,rdfs:label,FCD Type IIA                  ,,,
FocalCorticalDysplasiaTypeIIB,rdfs:label,FCD Type IIB                  ,,,
FocalCorticalDysplasiaTypeIIINOS,rdfs:label,FCD Type III                  ,,,
FocalCorticalDysplasiaTypeIIIA,rdfs:label,FCD Type IIIA                  ,,,
FocalCorticalDysplasiaTypeIIIB,rdfs:label,FCD Type IIIB                  ,,,
FocalCorticalDysplasiaTypeIIIC,rdfs:label,FCD Type IIIC                  ,,,
FocalCorticalDysplasiaTypeIIID,rdfs:label,FCD Type IIID                  ,,,
Felbatol,rdfs:label,Felbatol®                  ,,,
FenfluramineHydrochloride,rdfs:label,fenfluramine hydrochloride                  ,,,
HyperthermiaInducedSeizure,rdfs:label,Fever induced seizure                  ,,,
FGFR,rdfs:label,Fibroblast Growth Factor Receptor                  ,,,
AnteriorTransverseTemporalGyrus,rdfs:label,First transverse gyrus of Heschl                  ,,,
FluidAttenuatedInversionRecoveryImaging,rdfs:label,FLAIR                  ,,,
FunctionalMagneticResonanceImaging,rdfs:label,fMRI                  ,,,
FocalCorticalDysplasia,rdfs:label,Focal Cortical Dysplasia                  ,,,
FocalEpileptogenicZone,rdfs:label,Focal epileptogenic zone                  ,,,
AphasicStatus,rdfs:label,Focal Onset (mapping reference: ILAE 2017 Classification of Seizure Types Expanded Version)                  ,,,
AstaticStatus,rdfs:label,Focal Onset (mapping reference: ILAE 2017 Classification of Seizure Types Expanded Version)                  ,,,
AtonicStatus,rdfs:label,Focal Onset (mapping reference: ILAE 2017 Classification of Seizure Types Expanded Version)                  ,,,
GeneralizedOnsetTonicClonicSeizure,rdfs:label,Focal to bilateral tonic-clonic                  ,,,
FootSegment,rdfs:label,Foot Segment                  ,,,
ForcedSwimTest,rdfs:label,Forced swim test                  ,,,
ForebrainNeuralTissue,rdfs:label,Forebrain Neural Tissue                  ,,,
ForebrainSegment,rdfs:label,Forebrain Segment                  ,,,
FourthToe,rdfs:label,Fourth Toe                  ,,,
FrameshiftVariant,rdfs:label,Frameshift                  ,,,
FrameshiftVariant,rdfs:label,frameshift_variant                  ,,,
FreeGamma-aminobutyricAcid,rdfs:label,Free gamma-aminobutyric acid                  ,,,
FreeLimbSegment,rdfs:label,Free Limb Segment                  ,,,
FreeLowerLimbSegment,rdfs:label,Free Lower Limb Segment                  ,,,
FreeUpperLimbSegment,rdfs:label,Free Upper Limb Segment                  ,,,
FrontalAnatomicalCoordinate,rdfs:label,Frontal                  ,,,
FrontalLobeSegment,rdfs:label,Frontal                  ,,,
Frontal10-10System,rdfs:label,Frontal 10-10 System                  ,,,
FrontalIntermittentRhythmicDeltaActivity,rdfs:label,Frontal intermittent Rhythmic Delta Activity                  ,,,
FrontoMarginalGyrus,rdfs:label,Frontomarginal gyrus                  ,,,
FrontalOperculum,rdfs:label,Fronto-Opercular                  ,,,
FrontalPole,rdfs:label,Fronto-Polar                  ,,,
ForcedSwimTest,rdfs:label,FST                  ,,,
FunctionalMagneticResonanceImaging,rdfs:label,functional magnetic resonance imaging                  ,,,
FusiformGyrus,rdfs:label,Fusiform gyrus                  ,,,
GammaAminoButyricAcid,rdfs:label,GABA                  ,,,
?AminoButyricAcidAReceptor,rdfs:label,GABA A Receptor                  ,,,
?AminoButyricAcidBReceptor,rdfs:label,GABA B Receptor                  ,,,
?AminoButyricAcidAReceptor,rdfs:label,GABA-A Receptor Antagonists                  ,,,
?AminoButyricAcidAReceptorAssociatedEncephalitis,rdfs:label,GABAARAssociatedEncephalitis                  ,,,
?AminoButyricAcidBReceptorAssociatedEncephalitis,rdfs:label,GABABRAssociatedEncephalitis                  ,,,
Gabitril,rdfs:label,Gabitril®                  ,,,
GlutamateDecarboxylase65,rdfs:label,GAD65                  ,,,
GlutamateDecarboxylase65AssociatedEncephalitis,rdfs:label,GAD65AssociatedEncephalitis                  ,,,
GAL,rdfs:label,galanin and GMAP prepropeptide                  ,,,
Gamma-aminobutyricAcid,rdfs:label,Gamma-aminobutyric acid                  ,,,
GABRA1,rdfs:label,"gamma-aminobutyric acid (GABA) A receptor, alpha 1                  ",,,
GABRD,rdfs:label,"gamma-aminobutyric acid (GABA) A receptor, delta                  ",,,
GABRG2,rdfs:label,"gamma-aminobutyric acid (GABA) A receptor, gamma 2                  ",,,
GABRB3,rdfs:label,gamma-aminobutyric acid type A receptor subunit beta3                  ,,,
Ganglioglioma,rdfs:label,Gangliocytoma                  ,,,
NeuraxisGanglion,rdfs:label,Ganglion of Neuraxis                  ,,,
Late-onsetChildhoodOccipitalEpilepsy,rdfs:label,Gastaut type                  ,,,
GlioblastomaMultiforme,rdfs:label,GBM                  ,,,
GeneralizedEpilepsyWithFebrileSeizuresPlus,rdfs:label,GEFS+                  ,,,
GelasticSeizure,rdfs:label,Gelastic Seizure                  ,,,
GelasticStatus,rdfs:label,Gelastic Status                  ,,,
Gender,rdfs:label,Gender                  ,,,
GeneralizedEpileptogenicZone,rdfs:label,Generalized epileptogenic zone                  ,,,
GeneralizedParoxysmalFastActivity,rdfs:label,Generalized Paroxysmal Fast Activity                  ,,,
TonicSeizure,rdfs:label,Generalized Tonic Seizure                  ,,,
GeneticDefect,rdfs:label,Genetic Defect                  ,,,
GeneticMutation,rdfs:label,Genetic Mutation                  ,,,
SequenceVariant,rdfs:label,GeneticVariant                  ,,,
GlialFibrillaryAcidicProtein,rdfs:label,GFAP                  ,,,
ModerateNeuronalLoss,rdfs:label,GFAP                  ,,,
Ganglioglioma,rdfs:label,GG                  ,,,
GLI3,rdfs:label,GLI family zinc finger 3                  ,,,
BrainGlialTumor,rdfs:label,Glial tumour of brain                  ,,,
GlioblastomaMultiforme,rdfs:label,Glioblastoma Multiforme                  ,,,
GliosisWithoutHS,rdfs:label,Gliosis without hippocampal sclerosis                  ,,,
GRIN1,rdfs:label,glutamate ionotropic receptor NMDA type subunit 1                  ,,,
GRIN2A,rdfs:label,glutamate ionotropic receptor NMDA type subunit 2A                  ,,,
GRIN2B,rdfs:label,glutamate ionotropic receptor NMDA type subunit 2B                  ,,,
GlutamicAcid,rdfs:label,Glutamic acid                  ,,,
GlutamicAcidHydrochloride,rdfs:label,Glutamic Acid Hydrochloride                  ,,,
GLDC,rdfs:label,glycine decarboxylase                  ,,,
GlycineReceptor,rdfs:label,glycine receptor protein                  ,,,
GlycineReceptorAssociatedEncephalitis,rdfs:label,GlyRAssociatedEncephalitis                  ,,,
MethylationofHistoneH3onLysine27,rdfs:label,GO:0071557                  ,,,
GOSR2,rdfs:label,golgi SNAP receptor complex member 2                  ,,,
NeuraxisGrayMatter,rdfs:label,Gray Matter of Neuraxis                  ,,,
AnteriorTransverseTemporalGyrus,rdfs:label,Great transverse gyrus of Heschl                  ,,,
MetabotropicGlutamateReceptor1,rdfs:label,GRM1                  ,,,
MetabotropicGlutamateReceptor1,rdfs:label,GRM1A                  ,,,
MetabotropicGlutamateReceptor1,rdfs:label,GRM1-ALPHA                  ,,,
AnatomicalFissure,rdfs:label,Groove                  ,,,
Gudden\'sAtrophy,rdfs:label,Gudden atrophy                  ,,,
GustatoryAura,rdfs:label,Gustatory Aura                  ,,,
GustatoryAuraStatus,rdfs:label,Gustatory Aura Status                  ,,,
DentateGyrusHippocampus,rdfs:label,Gyrus dentatus                  ,,,
FrontalLobeGyrus,rdfs:label,Gyrus of frontal lobe                  ,,,
DiffuseMidlineGlioma,rdfs:label,H3 K27M-mutant                  ,,,
H3-3A,rdfs:label,H3.3 histone A                  ,,,
MethylationofHistoneH3onLysine27,rdfs:label,H3K27                  ,,,
HabenularTrigone,rdfs:label,Habenular Trigone                  ,,,
HandSegment,rdfs:label,Hand Segment                  ,,,
HeadRegion10-10System,rdfs:label,Head Region 10-10 System                  ,,,
HemiClonicStatus,rdfs:label,Hemi Clonic Status                  ,,,
HemiClonicSeizure,rdfs:label,Hemiclonic Seizure                  ,,,
HemiconvulsionHemiplegiaEpilepsy,rdfs:label,Hemiconvulsion-hemiplegia-epilepsy                  ,,,
HemiClonicSeizure,rdfs:label,Hemiconvulsive seizure                  ,,,
HemisphericEpileptogenicZone,rdfs:label,Hemisphere                  ,,,
Hemisphere10-10System,rdfs:label,Hemisphere 10-10 System                  ,,,
TransverseTemporalGyrus,rdfs:label,Heschl gyrus                  ,,,
TransverseTemporalGyrus,rdfs:label,Heschl's gyrus                  ,,,
HeterogeneousCluster,rdfs:label,Heterogeneous Cluster                  ,,,
Hippocampus,rdfs:label,Hippocampal                  ,,,
HippocampalSclerosis,rdfs:label,Hippocampal sclerosis                  ,,,
MesialTemporalSclerosis,rdfs:label,Hippocampal Sclerosis                  ,,,
Macrophage,rdfs:label,histiocyte                  ,,,
HorizontalAnatomicalCoordinate,rdfs:label,Horizontal                  ,,,
MicroglialCell,rdfs:label,Hortega cell                  ,,,
HSType1,rdfs:label,HSILAEType1                  ,,,
HSType2,rdfs:label,HSILAEType2                  ,,,
HSType3,rdfs:label,HSILAEType3                  ,,,
DegenerativeAbnormality,rdfs:label,http://purl.bioontology.org/ontology/SNOMEDCT/107669003                  ,,,
Atrophy,rdfs:label,http://purl.bioontology.org/ontology/SNOMEDCT/13331008                  ,,,
PeripheralMyelin,rdfs:label,http://purl.bioontology.org/ontology/SNOMEDCT/14436008                  ,,,
GlialFibrillaryAcidicProtein,rdfs:label,http://purl.bioontology.org/ontology/SNOMEDCT/24675006                  ,,,
Encephalocele,rdfs:label,http://purl.bioontology.org/ontology/SNOMEDCT/55999004                  ,,,
OppositionalDefiantDisorderCo-occurrentWithChronicIrritabilityAngerWithLimitedProsocialEmotions,rdfs:label,http://purl.bioontology.org/ontology/SNOMEDCT/724736002                  ,,,
Myelin,rdfs:label,http://purl.bioontology.org/ontology/SNOMEDCT/79612000                  ,,,
CranialFossa,rdfs:label,http://purl.org/sig/ont/fma/fma321144                  ,,,
Myelin,rdfs:label,http://purl.org/sig/ont/fma/fma62977                  ,,,
Lipoprotein,rdfs:label,http://purl.org/sig/ont/fma/fma63169                  ,,,
Apical,rdfs:label,http://purl.org/sig/ont/fma/fma74541                  ,,,
Volar,rdfs:label,http://purl.org/sig/ont/fma/fma74558                  ,,,
NervousSystemMeasurementModality,rdfs:label,http://radlex.org/RID/RID10311                  ,,,
InframeDeletionVariant,rdfs:label,http://www.sequenceontology.org/browser/current_svn/term/SO:0001822                  ,,,
HumanBeing,rdfs:label,Human                  ,,,
HumanBodyPart,rdfs:label,Human Body Part                  ,,,
HypehydroticSeizure,rdfs:label,Hypehydrotic Seizure                  ,,,
HyperkinesiswithDevelopmentalDelay,rdfs:label,Hyperkinesis with developmental delay                  ,,,
HyperkineticConductDisorder,rdfs:label,Hyperkinetic conduct disorder                  ,,,
HypermotorSeizure,rdfs:label,Hypermotor Seizure                  ,,,
HypermotorStatus,rdfs:label,Hypermotor Status                  ,,,
HCN1,rdfs:label,hyperpolarization activated cyclic nucleotide gated potassium channel 1                  ,,,
HypertensiveSpontaneousIntracerebralHemorrhage,rdfs:label,Hypertensive Spontaneous Intracerebral Hemorrhage                  ,,,
HypnogogicSeizure,rdfs:label,Hypnogogic seizure                  ,,,
HypnopompicSeizure,rdfs:label,Hypnopompic Seizure                  ,,,
HypomotorSeizure,rdfs:label,Hypomotor Seizure                  ,,,
HypothalamicHamartoma,rdfs:label,Hypothalamic Hamartoma                  ,,,
HypothalamusZone,rdfs:label,Hypothalamus Zone                  ,,,
HypoxicIschemicInjury,rdfs:label,Hypoxic Ischemic Injury                  ,,,
IsomorphicAstrocytoma,rdfs:label,IA                  ,,,
IctalNystagmus,rdfs:label,Ictal Nystagmus                  ,,,
AstaticStatus,rdfs:label,Ictal paresis (mapping reference: ILAE 2017 Classification of Seizure Types Expanded Version)                  ,,,
IctalSpeech,rdfs:label,Ictal Speech                  ,,,
IsomorphicDiffuseGlioma,rdfs:label,IDG                  ,,,
IsocitrateDehydrogenase,rdfs:label,IDH                  ,,,
ImmaterialAnatomicalEntity,rdfs:label,Immaterial Anatomical Entity                  ,,,
ImmatureMicroglialCell,rdfs:label,Immature microglia                  ,,,
IER3IP1,rdfs:label,immediate early response 3 interacting protein 1                  ,,,
Leukocyte,rdfs:label,Immune cell                  ,,,
DialepticSeizure,rdfs:label,Impaired Awareness                  ,,,
EndocrineResponseToTheImmobilizationStress,rdfs:label,IMS                  ,,,
IncreasedAsymmetryPattern,rdfs:label,Increased Asymmetry Pattern                  ,,,
IndelVariant,rdfs:label,Indel                  ,,,
IndexFinger,rdfs:label,Index Finger                  ,,,
InducedApnea,rdfs:label,Induced apnea                  ,,,
InducedPluripotentStemCellCulture,rdfs:label,Induced Pluripotent Stem Cells                  ,,,
Stimulus,rdfs:label,InducingFactor                  ,,,
EpilepticSpasm,rdfs:label,Infantile spasm syndrome                  ,,,
InferiorFrontalGyrus,rdfs:label,Inferior frontal convolution                  ,,,
InferiorTemporalGyrus,rdfs:label,Inferior temporal gyrus                  ,,,
InframeDeletionVariant,rdfs:label,Inframe Deletion                  ,,,
InframeIndelVariant,rdfs:label,Inframe Indel                  ,,,
InframeInsertionVariant,rdfs:label,Inframe Insertion                  ,,,
InframeDeletionVariant,rdfs:label,inframe_deletion                  ,,,
InframeIndelVariant,rdfs:label,inframe_indel                  ,,,
InframeInsertionVariant,rdfs:label,inframe_insertion                  ,,,
InnumerableSeizure,rdfs:label,Innumerable                  ,,,
Inovelon,rdfs:label,Inovelon®                  ,,,
InsertionVariant,rdfs:label,Insertion                  ,,,
Insula,rdfs:label,Insular                  ,,,
DendriticCell,rdfs:label,interdigitating cell                  ,,,
IntergeniculateLeaf,rdfs:label,Intergeniculate Leaf                  ,,,
IntermediateAnatomicalCoordinate,rdfs:label,Intermediate                  ,,,
IntermediateHypothalamicRegion,rdfs:label,Intermediate Hypothalamic Region                  ,,,
IntermediateOrbitalGyrus,rdfs:label,Intermediate orbital gyrus                  ,,,
MiddleTemporalGyrus,rdfs:label,Intermediate temporal gyrus                  ,,,
IntermittentSlowActivity,rdfs:label,Intermittent Slow                  ,,,
InternalGrayMatterComponent,rdfs:label,Internal Gray Matter Component                  ,,,
IntracerebralHemorrhage,rdfs:label,Intracerebral Hemorrhage                  ,,,
InducedPluripotentStemCellCulture,rdfs:label,iPSC                  ,,,
JamaisVu,rdfs:label,Jamais Vu                  ,,,
JitteryPhase,rdfs:label,Jittery phase                  ,,,
KeppraXR,rdfs:label,Keppra XR™                  ,,,
Keppra,rdfs:label,Keppra®                  ,,,
Ki-67Antigen,rdfs:label,Ki-67                  ,,,
ParaneoplasticAntigenMa2,rdfs:label,KIAA0883                  ,,,
KMT2E,rdfs:label,Kruppel like factor 13                  ,,,
L2HGDH,rdfs:label,L-2-hydroxyglutarate dehydrogenase                  ,,,
Lamictal,rdfs:label,Lamictal®                  ,,,
LMNB2,rdfs:label,lamin B2                  ,,,
AcquiredEpilepticAphasia,rdfs:label,Landau-Kleffner syndrome                  ,,,
LateralFrontalLobeSegment,rdfs:label,Lateral Frontal                  ,,,
LateralHypothalamicRegion,rdfs:label,Lateral Hypothalamic Region                  ,,,
LateralHypothalamusZone,rdfs:label,Lateral Hypothalamus Zone                  ,,,
FusiformGyrus,rdfs:label,Lateral occipitotemporal gyrus                  ,,,
InferiorTemporalGyrus,rdfs:label,Lateral occipitotemporal gyrus (Heimer-83)                  ,,,
LateralParietalLobeSegment,rdfs:label,Lateral Parietal                  ,,,
LateralTemporalLobeSegment,rdfs:label,Lateral Temporal                  ,,,
LateralizingSign,rdfs:label,Lateralizing Sign                  ,,,
LateralizingSignVersion,rdfs:label,Lateralizing Sign Version                  ,,,
LymphoblasticCellLine,rdfs:label,LCL                  ,,,
LeftandRightSphenoidal,rdfs:label,Left & Right Sphenoidal                  ,,,
