s	p	o
n10385	p722	n5055
n10385	p3176	n1794
n10385	p2402	n3182
n10385	p3644	n105
n10385	p67	n20724
n10385	p3666	n17894
n10385	p3884	n13690
n5142	p1184	n6765
n5142	p1184	n12096
n5142	p1184	n15477
n5142	p491	n16732
n16732	p890	n18841
n16825	p3023	n11144
n19337	p2090	n5405
n19337	p2151	n7346
n19337	p152	n3611
n14239	p506	n12154
n12160	p1081	n14156
n13229	p1081	n1912
n19337	p68	n137
n21065	p848	n119
n3458	p848	n12
n12160	p1075	n266
n13229	p1075	n209
n19337	p4267	n16831
n11610	p3920	n286
n20677	p3920	n261
n10634	p3920	n14724
n21356	p3920	n8557
n19337	p488	n17734
n19337	p488	n10826
n19337	p719	n11103
n16839	p3353	n11816
n3606	p3666	n17895
n2775	p3865	n5142
n19337	p44	n14768
n19337	p2135	n4194
n19337	p2090	n14621
n19337	p2405	n14258
n16889	p595	n7099
n16839	p82	n14756
n5701	p4265	n14257
n19337	p2405	n5262
n19337	p1155	n14251
n19337	p3883	n708
n7241	p3303	n12166
n5142	p490	n16814
n16732	p890	n12341
n5142	p500	n6742
n5142	p1218	n8956
n4178	p1953	n14713
n2655	p1879	n5142
n3482	p2755	n7274
n3482	p2441	n678
n2655	p152	n5147
n3606	p1979	n720
n17448	p3269	n5142
n3482	p70	n20185
n2655	p70	n20185
n18041	p923	n15712
n3482	p2085	n18067
n3605	p2085	n20315
n3605	p3661	n17820
n3482	p1076	n17827
n2655	p3661	n17819
n3605	p1076	n18041
n3610	p3849	n20179
n3610	p58	n17824
n3610	p720	n18041
n5142	p1682	n16226
n3482	p899	n14891
n2655	p3274	n15118
n7571	p977	n9990
n2655	p3666	n17829
n3606	p3585	n722
n3606	p3388	n14924
n3605	p2404	n20206
n3606	p3666	n17821
n3606	p4016	n3520
n3606	p3735	n15315
n2655	p2674	n2752
n2655	p1882	n6024
n2655	p151	n5147
n2655	p1537	n13639
n2655	p3256	n4192
n2655	p1711	n5306
n19437	p2032	n14253
n2655	p3992	n150
n2655	p3097	n97
n2062	p523	n14973
n2419	p2088	n4302
n2429	p4257	n296
n2422	p850	n98
n2419	p3920	n8520
n2407	p4263	n801
n18391	p1077	n2405
n6000	p727	n2415
n16508	p1072	n216
n831	p3355	n201
n831	p2032	n1338
n2419	p626	n4302
n2419	p4249	n1995
n7052	p2090	n2402
n856	p84	n2418
n800	p1951	n2406
n2411	p3329	n18396
n2394	p3256	n2566
n3458	p2090	n276
n19341	p1959	n2401
n2404	p3322	n17802
n2428	p3782	n16504
n831	p3027	n15137
n2418	p500	n5056
n856	p2130	n2420
n16000	p3646	n13528
n2428	p3794	n14472
n2655	p2229	n5147
n2655	p2807	n2764
n2655	p44	n13277
n2655	p1576	n7370
n2655	p1309	n3460
n15755	p232	n8593
n18745	p1977	n20371
n19437	p2032	n47
n19453	p2032	n5196
n2655	p3992	n111
n2655	p4082	n37
n3460	p4121	n3810
n11243	p4257	n199
n16501	p676	n1456
n16501	p4257	n180
n2655	p2013	n17791
n2655	p1073	n18746
n831	p3355	n161
n11876	p4285	n18974
n18200	p3355	n208
n10659	p3355	n14247
n4848	p4257	n241
n18745	p3666	n819
n18745	p3069	n5704
n3464	p232	n17732
n10664	p3646	n2421
n18744	p2014	n14182
n18745	p2851	n5330
n18745	p3646	n9341
n11751	p2426	n14243
n5142	p2937	n20592
n2655	p44	n13278
n2655	p3274	n7435
n2655	p2135	n4195
n2655	p147	n706
n19453	p2032	n3180
n19437	p571	n79
n19437	p3698	n12219
n19446	p2032	n206
n14239	p3608	n14609
n2062	p525	n2400
n20419	p4257	n175
n3729	p4257	n299
n2411	p2089	n5050
n11109	p4257	n274
n11579	p4257	n246
n2394	p1076	n19793
n2394	p2085	n12228
n19337	p3530	n2413
n831	p3355	n268
n3627	p2032	n15559
n5840	p3355	n14245
n13104	p3255	n5317
n2655	p1303	n573
n2655	p2996	n935
n2655	p2150	n3480
n19337	p3666	n2568
n5840	p232	n3811
n2655	p488	n13160
n2655	p3782	n11789
n2655	p2852	n3179
n2655	p951	n5068
n2655	p1649	n13671
n2655	p492	n5823
n2655	p3645	n118
n5142	p2937	n18328
n16732	p890	n21329
n5142	p500	n6741
n6930	p2034	n3460
n17713	p2034	n19359
n5142	p3418	n3961
n2655	p698	n2764
n2655	p53	n19843
n2655	p149	n5188
n19437	p4101	n13610
n19437	p2032	n14242
n14239	p3631	n8672
n2655	p4081	n109
n11217	p4257	n160
n15164	p4257	n6234
n17728	p2032	n1409
n20419	p4257	n139
n11297	p4257	n143
n11239	p4257	n122
n14239	p3632	n20289
n831	p3355	n298
n3627	p4285	n4735
n18200	p3355	n148
n10667	p3355	n14246
n11293	p4257	n184
n11294	p4257	n186
n16502	p4257	n13711
n14241	p3725	n284
n2655	p3920	n19649
n17370	p594	n15133
n3458	p2090	n14634
n21065	p232	n5822
n18744	p3666	n819
n3604	p3218	n5053
n2394	p3062	n5707
n13718	p3721	n11819
n10749	p2850	n5142
n2428	p3666	n3966
n2428	p3069	n19652
n2394	p3883	n707
n14240	p3719	n9338
n5142	p2937	n6108
n5142	p490	n16851
n2454	p2937	n21574
n2454	p500	n4658
n1462	p2277	n13740
n1462	p3565	n15860
n1462	p2090	n15411
n1462	p150	n5391
n19453	p2032	n3181
n19453	p3745	n4999
n9432	p2032	n866
n9432	p2032	n6589
n1462	p843	n40
n20581	p4257	n80
n15165	p4257	n17373
n17729	p4257	n3078
n6439	p4257	n3559
n20419	p4257	n84
n14252	p4257	n250
n14250	p4257	n278
n831	p3355	n11119
n18200	p3355	n6859
n1462	p725	n17862
n1462	p723	n3560
n1462	p723	n15600
n21082	p664	n18968
n10663	p3355	n20732
n1462	p4257	n17363
n1462	p1072	n13140
n19437	p3036	n18774
n1462	p3167	n10587
n1462	p3256	n20789
n1462	p3184	n21084
n1462	p2686	n5213
n1462	p1081	n6724
n7258	p3893	n9328
n21930	p3269	n5192
n21929	p950	n18095
n8588	p4123	n9181
n4819	p4036	n5762
n6797	p3920	n1239
n8926	p726	n1239
n5690	p4049	n2600
n19437	p3802	n25
n21925	p3803	n233
n17770	p504	n19243
n20408	p4257	n30
n14778	p4285	n115
n20431	p4285	n87
n8969	p4285	n218
n4819	p4036	n5765
n4819	p44	n19876
n13312	p504	n6603
n4190	p504	n6603
n20122	p504	n6603
n6797	p3661	n17771
n8926	p2124	n5119
n6797	p4088	n101
n21633	p3839	n282
n21927	p4237	n16456
n21054	p2034	n21069
n9627	p2034	n14532
n4819	p132	n6801
n4819	p258	n19882
n6797	p47	n5980
n21621	p116	n18537
n6608	p3109	n1888
n21636	p2161	n5692
n4819	p132	n6802
n8926	p3324	n5206
n21633	p883	n15737
n16732	p2617	n21337
n12449	p977	n9740
n16825	p492	n5142
n16825	p492	n7524
n5142	p1105	n9632
n5142	p3557	n843
n5142	p232	n9861
n5142	p232	n1469
n7524	p1816	n6748
n7524	p1816	n840
n5142	p3418	n1240
n10255	p4124	n16295
n10255	p1966	n6703
n10255	p3055	n2780
n10255	p3549	n10272
n10272	p2034	n1959
n10255	p1978	n7380
n17561	p3269	n5142
n17597	p3269	n7524
n11958	p1415	n17547
n11958	p1973	n20688
n11958	p1088	n7046
n11958	p1088	n21399
n11958	p1023	n20692
n10255	p1365	n18604
n11958	p228	n10255
n11958	p228	n19256
n4747	p860	n7109
n1959	p3245	n2056
n8044	p3245	n2055
n6998	p72	n9697
n6998	p2121	n7817
n18058	p3242	n10458
n10255	p3666	n21415
n21415	p2116	n17499
n10255	p3666	n2631
n10255	p2090	n1959
n17547	p771	n10276
n10255	p4241	n8050
n7528	p951	n9059
n10255	p2090	n18058
n17546	p1765	n1763
n10255	p3774	n18058
n18058	p154	n21496
n10255	p3853	n8044
n10255	p3854	n10272
n10255	p232	n5815
n10255	p3103	n10187
n10255	p3162	n13307
n10255	p3177	n7420
n17547	p3666	n9798
n10255	p552	n16104
n10255	p865	n17472
n7841	p3274	n10261
n10066	p2	n21767
n10066	p10	n21737
n10066	p2	n21770
n10066	p2	n21765
n10066	p7	n21971
n10066	p7	n21797
n10066	p7	n21795
n11421	p12	n21835
n11421	p13	n21835
n11421	p8	n21673
n11421	p7	n21766
n11421	p8	n21741
n11421	p8	n21739
n11421	p3	n21797
n11421	p1	n21826
n11421	p5	n21826
n16551	p7	n21900
n16551	p7	n21795
n16551	p7	n21901
n16551	p11	n21769
n16551	p4	n21955
n4856	p7	n21768
n4856	p7	n21836
n4856	p7	n21738
n4856	p7	n21858
n4856	p7	n21795
n4856	p7	n21734
n12808	p1520	n18481
n5338	p1037	n5701
n5338	p3404	n18481
n2104	p2612	n10680
n10680	p3695	n907
n5142	p2622	n21949
n21949	p1409	n16732
n5142	p1907	n14546
n2106	p2829	n6126
n21630	p2412	n5379
n10683	p3656	n7055
n10683	p4171	n11446
n10574	p2121	n17937
n17937	p2810	n19659
n5807	p1885	n8581
n9582	p2223	n10684
n1563	p4148	n21573
n3765	p603	n1240
n3763	p2184	n11488
n21949	p951	n14544
n14544	p2935	n10572
n21949	p1478	n19659
n21949	p951	n8455
n10681	p2829	n21949
n3763	p3666	n17862
n3763	p3774	n2106
n7374	p2418	n5689
n6996	p3666	n17937
n15249	p2014	n10682
n2105	p3499	n5308
n2105	p3499	n5345
n1867	p1431	n6603
n5802	p3666	n6603
n6996	p1192	n5142
n7297	p3143	n17731
n17731	p581	n1864
n8586	p883	n2489
n6024	p676	n14411
n6024	p87	n18611
n14284	p1732	n18273
n6024	p2108	n17326
n6024	p2108	n19291
n6024	p3666	n15589
n20592	p677	n6586
n20592	p1527	n19587
n5900	p3274	n7335
n5900	p3274	n8064
n2379	p43	n2607
n2379	p3685	n7266
n2379	p3685	n8057
n2754	p592	n20592
n2655	p1332	n17862
n2655	p150	n5142
n2655	p150	n10511
n4517	p44	n14060
n4517	p44	n14061
n4517	p1920	n17785
n19437	p1262	n2915
n19437	p4168	n20796
n19437	p2062	n3183
n14181	p1102	n10529
n20592	p677	n9107
n14181	p944	n7043
n2432	p2143	n14290
n14181	p1760	n17862
n14193	p1571	n12987
n14193	p1218	n10498
n14193	p1218	n1529
n14181	p4095	n2414
n14181	p4095	n2403
n14181	p4095	n2399
n2399	p30	n6883
n2399	p1451	n2414
n2399	p1451	n2403
n19437	p3731	n3725
n815	p3726	n7075
n815	p3292	n11520
n9115	p951	n13134
n2432	p951	n14787
n2432	p136	n21426
n19437	p3036	n10363
n19437	p3036	n18110
n14607	p3148	n13486
n4517	p232	n8652
n9113	p3200	n17775
n2432	p3753	n15725
n10784	p3387	n20899
n19337	p2218	n19854
n19337	p150	n5142
n19337	p148	n6227
n19337	p148	n7050
n19337	p4121	n705
n5142	p504	n4645
n13198	p1521	n20576
n19337	p1746	n1523
n19337	p3274	n8051
n19337	p2135	n2596
n19337	p3666	n2610
n19437	p1262	n16605
n19437	p571	n8831
n19437	p4009	n10157
n14089	p718	n4645
n14089	p3633	n19337
n16495	p677	n6883
n19291	p677	n17945
n11289	p912	n6972
n5110	p1323	n6062
n19337	p3786	n18610
n19337	p3768	n18612
n19337	p3810	n5712
n815	p3726	n7087
n815	p3290	n5293
n815	p3290	n15992
n815	p3290	n10123
n19337	p1829	n5096
n19337	p951	n19641
n19337	p951	n541
n19337	p865	n13198
n19437	p3036	n16599
n19437	p3036	n18773
n19337	p3132	n2242
n5142	p490	n16825
n16732	p890	n12544
n5142	p1194	n5627
n5142	p1194	n4657
n5142	p232	n17326
n21928	p3269	n5142
n21928	p951	n19177
n21620	p3068	n3951
n5799	p3655	n10680
n14774	p677	n21175
n3308	p4037	n17770
n3308	p3666	n5767
n3308	p256	n8268
n3308	p256	n8270
n18226	p4037	n17750
n20541	p4037	n17770
n10822	p4037	n17770
n10822	p3666	n5767
n18245	p3274	n7380
n8269	p2090	n19715
n8274	p1124	n19854
n10822	p3666	n17862
n21633	p883	n15744
n5142	p2161	n2924
n5142	p1658	n1786
n5142	p232	n15302
n16732	p3784	n12566
n4163	p1002	n5238
n14503	p4126	n21620
n21951	p3269	n5142
n21951	p951	n19140
n21951	p951	n3984
n18226	p1983	n14944
n3308	p504	n18226
n10822	p504	n18226
n20541	p504	n18226
n6797	p504	n18226
n3308	p4121	n13995
n3309	p4046	n20695
n10441	p93	n6948
n10329	p3347	n7055
n9160	p677	n5404
n9906	p677	n5402
n15905	p3459	n12242
n1992	p4051	n8268
n1992	p4051	n8270
n1992	p4051	n8273
n3311	p3666	n3984
n3312	p3666	n3984
n3310	p3666	n3984
n3313	p504	n20430
n3311	p3666	n5767
n3312	p3666	n5767
n3310	p3666	n5767
n3311	p254	n8270
n3312	p254	n8270
n3310	p254	n8270
n3311	p1504	n18586
n3312	p1504	n20739
n3310	p1504	n18269
n11427	p98	n8270
n11427	p4037	n3984
n18583	p98	n8270
n18583	p4037	n3984
n13310	p98	n8270
n13310	p4037	n3984
n8272	p3666	n17862
n8272	p3666	n5766
n8271	p3252	n1253
n18205	p3844	n8271
n3308	p3250	n8271
n10822	p3250	n8271
n20541	p3250	n8271
n6797	p3250	n8271
n8270	p977	n1422
n8270	p977	n11448
n8270	p3274	n2620
n1422	p3274	n7380
n21633	p883	n8584
n21633	p4237	n3349
n5142	p504	n2921
n5142	p232	n11997
n5142	p232	n18638
n5142	p232	n1307
n12544	p977	n1635
n12544	p977	n13171
n21939	p2494	n16732
n21950	p3269	n5142
n21949	p951	n5604
n21949	p951	n11386
n21949	p951	n5554
n21952	p4007	n20308
n10441	p3067	n7111
n10441	p3604	n20697
n10716	p3655	n4957
n10716	p3655	n21174
n4980	p860	n20703
n5294	p751	n4820
n5350	p4161	n20759
n5350	p4161	n20698
n5350	p4161	n20740
n9940	p3002	n21729
n9944	p3601	n10573
n21952	p1478	n12973
n21952	p4094	n21480
n12971	p2118	n18651
n21952	p3666	n3031
n16006	p2118	n9467
n21952	p3666	n6434
n4737	p3666	n12972
n3308	p3666	n12972
n20541	p828	n12972
n21079	p828	n12972
n4737	p2090	n3030
n3308	p2090	n3030
n8484	p3666	n20409
n8480	p3666	n20409
n9944	p951	n13040
n21633	p3628	n1822
n1823	p2034	n18649
n1823	p2034	n1310
n1823	p2034	n11997
n21950	p84	n4981
n4737	p3274	n18693
n3308	p3274	n18693
n3308	p55	n18233
n1815	p883	n5339
n1815	p1520	n9593
n5142	p1657	n6942
n5142	p1694	n8568
n5142	p1218	n12787
n5142	p1218	n11939
n5142	p1218	n1804
n5142	p3666	n15589
n5142	p232	n15075
n5142	p1402	n16858
n16732	p890	n21328
n5142	p3421	n12055
n5142	p3418	n430
n6797	p55	n18238
n6797	p55	n18501
n6797	p1923	n11270
n19437	p2734	n6226
n6226	p4030	n21666
n19437	p1262	n13613
n14181	p718	n5142
n14181	p1927	n19854
n1759	p860	n20696
n1759	p4134	n11781
n6797	p2138	n20543
n6797	p4079	n5701
n6797	p4079	n20371
n6797	p1568	n21647
n6797	p845	n19343
n17912	p3653	n21570
n815	p222	n14234
n15507	p677	n15116
n19437	p905	n13552
n14193	p1794	n12994
n6797	p3666	n11781
n6797	p30	n18283
n18011	p4042	n20689
n6797	p863	n933
n6797	p118	n431
n6797	p118	n428
n14564	p3619	n3362
n3362	p2118	n3442
n815	p3726	n7085
n815	p3290	n10825
n815	p3290	n18973
n6797	p3950	n21088
n6797	p3950	n15507
n19437	p3731	n13125
n6797	p951	n5400
n6797	p951	n3882
n15876	p3263	n14493
n6797	p2014	n10789
n6797	p3214	n17326
n431	p3176	n3561
n19437	p3036	n10376
n19437	p3036	n15892
n6797	p1366	n1902
n6797	p3226	n6932
n2655	p2961	n705
n2655	p534	n3458
n2655	p4008	n15727
n19437	p2034	n5226
n19437	p2034	n10515
n5142	p504	n18328
n10511	p504	n18328
n2655	p55	n19849
n2655	p55	n7574
n2655	p55	n5507
n19437	p3479	n7103
n20616	p3607	n14239
n20616	p849	n19854
n20616	p4163	n14604
n2655	p844	n20038
n2655	p844	n20705
n20581	p860	n7112
n17366	p3655	n815
n2655	p3666	n15170
n2655	p3666	n5281
n2655	p3666	n3974
n2655	p865	n13720
n2655	p865	n3477
n2655	p30	n6882
n2655	p30	n18282
n2655	p2090	n17845
n2655	p2014	n8021
n2655	p232	n18973
n2655	p232	n17731
n18973	p3285	n3466
n2655	p232	n5840
n5840	p232	n21071
n19437	p3731	n13071
n2655	p690	n1281
n2655	p1333	n9584
n2655	p2150	n3472
n2567	p2090	n12226
n2398	p3167	n19765
n19437	p3036	n14800
n19437	p3036	n14693
