s	p	o
n7817	p4005	n18425
n19999	p2090	n8723
n9515	p992	n18423
n18421	p890	n11366
n12389	p1994	n6691
n6688	p3023	n4581
n4581	p3468	n6137
n6137	p3549	n9898
n9898	p749	n14568
n18427	p615	n20503
n20503	p232	n9897
n5164	p2735	n17774
n10060	p615	n5164
n16813	p1994	n21338
n4645	p2276	n5330
n4645	p2276	n12110
n3426	p4090	n17890
n3426	p4090	n17855
n3426	p4090	n828
n15166	p3238	n4304
n15166	p3208	n4860
n5142	p1653	n9861
n5142	p1653	n1540
n5142	p1653	n1834
n5142	p1653	n18646
n5142	p1653	n7661
n5142	p1653	n5413
n5142	p2012	n2839
n2843	p2034	n15462
n2843	p2034	n5877
n14190	p102	n11244
n15361	p2320	n6221
n2894	p603	n3493
n2894	p603	n5843
n2894	p2373	n14185
n19595	p651	n17980
n19595	p651	n4306
n4306	p2045	n18687
n4306	p2045	n3652
n4306	p2045	n1806
n4306	p2045	n11919
n4306	p2045	n4300
n4306	p2045	n5669
n17980	p2045	n17862
n17980	p2045	n17819
n17980	p2045	n16426
n17980	p2045	n5863
n2894	p4219	n10579
n19289	p927	n14188
n19289	p927	n4085
n2839	p3546	n4307
n4306	p2811	n17980
n2839	p4240	n18688
n2839	p4240	n3660
n2839	p4240	n1802
n2839	p4240	n11951
n2839	p4240	n4299
n2839	p4240	n17890
n2839	p4240	n17828
n2872	p2333	n6223
n4085	p1525	n2872
n14188	p3275	n17828
n14188	p3275	n5864
n9577	p3678	n17828
n9577	p3678	n5864
n5534	p232	n21611
n5534	p3695	n9332
n2869	p1970	n14190
n14190	p3888	n17769
n4305	p3735	n11246
n11246	p981	n18011
n5142	p1104	n575
n4869	p2130	n16350
n5571	p3546	n17785
n10467	p3546	n3524
n5533	p883	n5538
n5538	p3176	n12786
n15724	p3896	n897
n15724	p3896	n14190
n7780	p108	n4911
n5142	p2197	n18352
n5142	p2276	n1469
n16786	p890	n12401
n16825	p2077	n11607
n16825	p2077	n13285
n16825	p2077	n7127
n16837	p626	n6094
n14073	p3501	n6748
n9923	p3023	n7524
n18354	p3023	n5142
n12391	p3666	n18876
n16222	p615	n12869
n12869	p492	n6126
n8886	p883	n8865
n14203	p2326	n7846
n10132	p619	n7846
n19804	p4012	n7933
n19804	p2121	n5084
n5084	p2838	n8803
n5084	p2838	n13214
n19801	p595	n19805
n19801	p595	n7039
n7038	p3749	n4818
n16915	p2155	n317
n317	p2577	n16786
n317	p232	n6092
n13385	p2361	n18625
n13385	p1415	n21506
n1395	p736	n13385
n1395	p738	n317
n5036	p603	n8806
n5036	p603	n18105
n18105	p2443	n11011
n4104	p941	n18105
n18106	p3774	n5914
n19802	p4013	n317
n1395	p3069	n14644
n1395	p978	n12433
n1395	p978	n19837
n1395	p1045	n20052
n20051	p690	n14646
n19802	p951	n8577
n13507	p708	n13096
n1395	p352	n12824
n12824	p978	n19884
n12824	p978	n11044
n1394	p978	n12400
n7749	p792	n12382
n1394	p1045	n7227
n7227	p3549	n11545
n1394	p1061	n19125
n1394	p1061	n6246
n1394	p951	n21349
n1394	p951	n21325
n1394	p2148	n9377
n10134	p883	n2933
n10134	p874	n7842
n16824	p3585	n8903
n8903	p555	n1134
n19804	p2409	n4863
n17149	p328	n6057
n17149	p328	n5339
n11167	p890	n19947
n19947	p256	n11493
n19947	p3274	n12861
n19941	p238	n12711
n19941	p3531	n6069
n10245	p951	n20026
n19941	p3762	n10246
n17582	p3269	n5142
n19941	p3762	n17584
n19947	p2800	n1255
n17654	p890	n18846
n17664	p3269	n15911
n17664	p951	n18322
n17664	p951	n15065
n17682	p890	n12413
n17686	p492	n7651
n17685	p3269	n5592
n17685	p951	n17747
n17685	p951	n15065
n11169	p3006	n19947
n19941	p810	n19613
n19941	p810	n19614
n1868	p3472	n19941
n17664	p1694	n2792
n17686	p492	n9518
n19942	p2461	n576
n19941	p1018	n17659
n19941	p1018	n17683
n12111	p615	n15065
n16786	p232	n6024
n16786	p232	n6748
n16786	p232	n7871
n16786	p232	n5142
n16926	p492	n18861
n18861	p749	n609
n18861	p3023	n6126
n16926	p1487	n1587
n16926	p951	n9443
n16900	p3982	n11532
n7959	p2753	n16900
n16596	p131	n16928
n14211	p2392	n5184
n14211	p2392	n13205
n5184	p1323	n17966
n13205	p1508	n17966
n5142	p545	n6754
n5142	p428	n841
n13204	p3524	n6754
n5142	p951	n20888
n13204	p3006	n20888
n5142	p1534	n17819
n5142	p1453	n19291
n5142	p232	n20019
n5813	p4100	n17747
n13204	p3403	n13330
n5454	p3371	n2090
n2143	p2719	n13293
n5142	p3749	n14702
n13204	p3419	n10607
n16926	p2719	n4359
n9706	p2630	n13204
n16926	p2077	n11612
n16926	p2077	n13288
n16926	p2077	n7130
n16926	p2077	n19110
n16926	p2077	n4506
n15431	p492	n10833
n10833	p232	n18361
n11612	p331	n21104
n16926	p398	n21359
n16926	p398	n14753
n16926	p398	n10633
n16900	p1045	n3913
n14522	p2705	n21157
n14522	p2705	n21145
n7202	p2130	n4901
n7888	p3274	n16905
n5995	p3274	n16905
n9173	p431	n4761
n16802	p2786	n5142
n1304	p4051	n16802
n331	p4116	n16775
n14992	p2844	n16900
n12400	p2777	n7387
n16802	p3666	n9733
n16108	p492	n12711
n20444	p990	n7746
n2541	p883	n5916
n2920	p3006	n5928
n2920	p2460	n20471
n8212	p4051	n17580
n8212	p3658	n2551
n352	p684	n2552
n352	p4051	n3039
n2553	p2090	n17615
n9538	p2090	n12395
n12395	p3774	n9947
n9947	p3308	n593
n2549	p3821	n17442
n2549	p841	n13512
n2555	p77	n5210
n2555	p2090	n12383
n12383	p2014	n9956
n2555	p3666	n19183
n2555	p3666	n18041
n2555	p2014	n19600
n2555	p2014	n1854
n1855	p2034	n11936
n1855	p2034	n6438
n2550	p3774	n5925
n5926	p242	n13726
n2997	p2187	n2550
n2550	p690	n4885
n2554	p2220	n8284
n8284	p2034	n5142
n7736	p3735	n14992
n14992	p4051	n20865
n6024	p232	n17326
n17326	p23	n8531
n17326	p2768	n17924
n17924	p2034	n17923
n10255	p2963	n5330
n10255	p2485	n6704
n10255	p2583	n2781
n10255	p2498	n10275
n10275	p2034	n1959
n18259	p773	n17785
n14834	p2267	n17923
n4211	p2977	n1518
n17582	p2595	n10255
n17582	p2595	n3934
n4211	p2792	n1517
n1517	p3023	n7795
n7795	p3557	n17923
n10255	p315	n8044
n8053	p3531	n10277
n18256	p2614	n14616
n10255	p3666	n19186
n10255	p3666	n17333
n10265	p3666	n17333
n10265	p3531	n10277
n10266	p2521	n10273
n10255	p828	n17862
n10255	p3531	n17998
n10255	p2090	n10462
n10255	p681	n1518
n10260	p3749	n3908
n4749	p3790	n15381
n10265	p3069	n15372
n10460	p782	n18256
n10255	p3578	n6710
n10266	p2695	n10278
n11338	p2518	n10255
n4396	p4012	n11338
n4396	p657	n2042
n4396	p2135	n404
n407	p3666	n18000
n10255	p3274	n18211
n11338	p2090	n20681
n9567	p2090	n2171
n18218	p3997	n16478
n9531	p3531	n16469
n2199	p2548	n17338
n1110	p3274	n17923
n5142	p2276	n5624
n5142	p2276	n4488
n5142	p3784	n9861
n12400	p3702	n12861
n16802	p492	n16140
n16140	p3023	n12711
n16926	p232	n7524
n16926	p232	n6748
n16932	p4248	n7224
n10846	p232	n18361
n14064	p232	n11539
n14525	p2530	n11709
n11709	p2034	n7888
n11709	p2034	n5995
n16786	p603	n12089
n16886	p3702	n16775
n3639	p3213	n16452
n19444	p1832	n13554
n6906	p3830	n13387
n16370	p2397	n16880
n15319	p2544	n12851
n12851	p2161	n17232
n16886	p603	n6967
n6967	p603	n20466
n21957	p2963	n15332
n15332	p230	n20819
n7597	p4069	n15326
n15319	p2279	n21514
n15319	p2279	n21128
n21154	p3666	n11015
n16120	p3695	n16190
n16190	p3666	n12382
n21516	p3069	n13372
n15325	p2515	n7599
n15325	p801	n7600
n15320	p3763	n7790
n5222	p3142	n21516
n5222	p3142	n21154
n21154	p779	n6056
n21154	p3272	n14522
n21516	p3965	n11534
n21154	p3965	n11804
n3383	p3006	n19290
n3639	p3666	n20464
n16255	p1994	n16775
n15329	p2161	n18764
n18764	p969	n10379
n15325	p44	n4881
n9369	p802	n9382
n16775	p2832	n12088
n16786	p2598	n6024
n16786	p1683	n14524
n14524	p3609	n5142
n14524	p3610	n7524
n5142	p2276	n10036
n5142	p2276	n3532
n5142	p2276	n1861
n16813	p232	n18361
n14077	p232	n11539
n14525	p2691	n16943
n14525	p2530	n11710
n11710	p2034	n6079
n19444	p1832	n5719
n21460	p2744	n14195
n21460	p4051	n3510
n21125	p3823	n15396
n21112	p1037	n6048
n6048	p603	n7101
n3938	p2963	n21124
n6267	p2961	n14745
n4901	p2280	n3563
n3563	p679	n11522
n3563	p679	n18361
n3563	p679	n9924
n16901	p3933	n6049
n6049	p2635	n6496
n6496	p2034	n11523
n6496	p2034	n18362
n9925	p951	n11006
n21123	p2657	n11694
n11694	p1558	n10530
n6049	p2687	n9863
n6663	p951	n14514
n14514	p4017	n11712
n18330	p479	n15537
n11511	p479	n15539
n11726	p2722	n10097
n11726	p2722	n12862
n11710	p615	n14522
n11710	p768	n15152
n12065	p271	n11733
n15790	p267	n19416
n11712	p2380	n18761
n10411	p2845	n4623
n11718	p3176	n3396
n3396	p250	n6630
n16900	p3886	n14685
n16813	p3666	n12375
n12375	p2346	n7393
n16109	p492	n12711
n12711	p3501	n19291
n5142	p1433	n15075
n15075	p232	n19291
n15075	p232	n17326
n19291	p2456	n6832
n6832	p2935	n9654
n6832	p2935	n21024
n663	p2307	n19291
n663	p2276	n3067
n3067	p3023	n2119
n2119	p331	n4385
n12023	p2318	n6004
n12023	p2318	n5112
n19590	p1987	n6712
n6712	p3371	n5222
n9432	p3749	n16878
n6359	p945	n17353
n6711	p2713	n18271
n18271	p1941	n16926
n16926	p2034	n20672
n16926	p2034	n7130
n6711	p2203	n6832
n6832	p232	n16484
n6832	p232	n21024
n19291	p3557	n16304
n16304	p3023	n4385
n19291	p3023	n3602
n3602	p3492	n4469
n4469	p3357	n663
n663	p232	n4802
n4802	p2370	n2142
n4802	p2370	n2110
n19291	p2931	n1918
n1918	p2034	n4737
n1918	p2034	n11494
n19291	p2931	n17710
n17710	p2034	n14531
n17710	p2034	n15349
n14700	p2034	n21065
n14700	p2034	n3458
n14700	p2034	n19337
n15190	p2108	n6711
n17848	p822	n6711
n2076	p3559	n19291
n9007	p4293	n12874
n12874	p232	n10111
n10111	p2034	n18899
n10111	p2034	n2607
n6711	p1576	n9012
n9012	p492	n3067
n16825	p1994	n20000
n16825	p1994	n2823
n18861	p3501	n2788
n2788	p615	n11835
n19252	p806	n15373
n19337	p822	n6711
n12956	p2034	n6797
n12956	p2034	n2655
n12956	p3213	n16666
n14813	p2668	n11268
n5142	p2267	n16802
n16802	p3666	n12378
n12378	p2420	n7387
n16139	p1994	n9941
n9941	p3069	n9720
n16088	p492	n12711
n12711	p3501	n17747
n17511	p951	n20013
n17511	p1415	n17554
n8744	p2779	n10175
n8744	p2779	n788
n2320	p951	n13341
n7387	p3666	n593
n9947	p2829	n17511
n6348	p2944	n17511
n9794	p2943	n17511
n12711	p2697	n1740
n17511	p835	n1756
n12625	p599	n18535
n12011	p2147	n9943
n6108	p1823	n5142
n5142	p1915	n6748
n5142	p1915	n12194
n5142	p1915	n20381
n7971	p1869	n9789
n7971	p255	n7274
n7971	p255	n8101
n7971	p1588	n11746
n21460	p2223	n5115
n21460	p1990	n7567
n7567	p2666	n4366
n7567	p2577	n7974
n7567	p2492	n8092
n7567	p2773	n14162
n7567	p2168	n3933
n7975	p1005	n14888
n7975	p1531	n4804
n7975	p44	n5022
n7975	p3666	n5917
n7975	p3689	n7274
n7975	p3666	n7431
n7975	p665	n11550
n7975	p665	n11551
n7975	p1766	n7280
n7975	p1766	n8102
n7975	p3054	n10873
n7975	p1000	n11746
n11745	p492	n12669
n7976	p492	n9787
n9787	p3023	n12711
n12711	p492	n6128
n7568	p962	n6108
n7978	p2346	n19736
n11747	p3219	n11384
n6108	p2034	n5142
n6108	p1351	n7849
n5142	p2591	n16825
n16825	p2719	n4368
n5142	p1082	n7878
n16847	p958	n5165
n16847	p4017	n1061
n13795	p232	n6787
n13795	p890	n15436
n15436	p2617	n2589
n15436	p4012	n2601
n8477	p1987	n7943
n11438	p2744	n7083
n21580	p2500	n11135
n21580	p891	n13795
n4503	p2324	n2464
n4503	p4012	n4362
n13797	p2864	n16848
n4835	p1987	n13802
n6547	p2971	n18925
n6547	p2744	n6862
n6547	p2744	n14355
n13801	p2034	n13285
n13801	p2034	n11607
n13801	p2034	n7127
n13801	p2447	n6788
n13801	p2483	n6788
n13798	p2480	n11135
n11135	p2883	n13798
n18925	p2371	n6862
n18925	p2169	n14355
n13801	p2532	n1446
n13801	p408	n4368
n13796	p3763	n5142
n13796	p1694	n5627
n13796	p1694	n6748
n13796	p1694	n840
n13796	p1694	n17781
n13796	p1694	n4657
n13796	p1694	n10400
n13796	p1694	n1836
n13796	p1546	n12194
n13796	p1546	n1499
n13796	p1546	n19291
n13801	p492	n10833
n10833	p84	n2962
n15436	p2434	n4636
n15436	p2548	n12882
n15722	p653	n3020
n3020	p3023	n3017
n3017	p2788	n13799
n8802	p762	n6024
n3518	p492	n6108
n13799	p3061	n6782
n11852	p349	n13799
n13801	p3882	n16845
n5142	p2276	n9649
n5142	p2276	n6748
n5142	p2276	n15302
n5142	p2276	n12194
n5142	p2276	n1499
n5142	p2652	n16825
n16825	p890	n12400
n12400	p2346	n7394
n16825	p3360	n4368
n16825	p2388	n16786
n5142	p951	n8515
n5142	p1860	n16840
n16840	p3142	n11604
n17395	p2927	n16916
n12965	p2201	n16916
n7914	p1081	n19957
n7914	p1081	n8859
n16610	p2318	n6220
n7850	p3466	n16799
n19590	p527	n11605
n11605	p2353	n12635
n19590	p3655	n15884
n19590	p3655	n20065
n9432	p1037	n14649
n9432	p1037	n18766
n3988	p2370	n1386
n3988	p2432	n3685
n21460	p2963	n12156
n7765	p2963	n12159
n12157	p2897	n16751
n19590	p1987	n11604
n11604	p2034	n18571
n11604	p2034	n18766
n11604	p2370	n12965
n11604	p2534	n17395
n11604	p3371	n5222
n11604	p3371	n7529
n11604	p3371	n12187
n12163	p2034	n8873
n12163	p2034	n19957
n12163	p2034	n20931
n8873	p2034	n21287
n8873	p2034	n15175
n8873	p2034	n17387
n8873	p2034	n9453
n8873	p2034	n6593
n21287	p3367	n17397
n15175	p3023	n11755
n15175	p492	n946
n19957	p2034	n10945
n19957	p2034	n8547
n19957	p2034	n8811
n8811	p1994	n21115
n12965	p708	n10913
n17395	p1526	n11853
n18925	p958	n16826
n18925	p3666	n21111
n16261	p1994	n17394
n21460	p708	n11859
n11604	p3023	n6601
n6601	p681	n6213
n4472	p84	n3372
n4472	p84	n7853
n16825	p2634	n5142
n11604	p492	n20863
n17395	p1081	n10056
n12965	p1081	n4088
n15587	p2034	n10353
n1569	p3666	n8887
n15176	p3666	n947
n12634	p796	n5142
n12634	p3912	n17712
n5142	p3524	n6748
n5142	p3524	n840
n5142	p3524	n7806
n5142	p3524	n20887
n5142	p3524	n20381
n5142	p715	n12194
n5142	p715	n1500
n5142	p2454	n19253
n5142	p3023	n3556
n5142	p3023	n1845
n5142	p3023	n11925
n16786	p2785	n5142
n12400	p2346	n7391
n5142	p951	n14517
n14517	p2034	n696
n693	p3735	n15868
n693	p736	n9869
n21256	p1245	n5711
n6052	p3655	n861
n6052	p3655	n17862
n6052	p3655	n17819
n6052	p3655	n19300
n6052	p3655	n1245
n19291	p2353	n15287
n15302	p2353	n17826
n11075	p708	n10414
n21261	p2045	n3651
n21261	p2045	n4309
n21261	p2045	n18829
n21261	p2045	n11949
n3582	p2034	n20779
n3582	p2034	n9435
n3582	p2034	n9085
n17966	p3359	n18270
n19291	p3371	n19502
n3497	p3367	n6746
n6086	p951	n9344
n18030	p3371	n19500
n11596	p3023	n9416
n9414	p2034	n10396
n9414	p2034	n13744
n19337	p4031	n17785
n16926	p2371	n11118
n16926	p2034	n10414
n11612	p3408	n14753
n11612	p84	n8667
n16926	p2719	n4378
n16926	p2168	n14737
n16926	p2280	n383
n693	p660	n5548
n693	p3988	n6973
n693	p2503	n3657
n693	p2503	n4310
n693	p2503	n18830
n693	p2503	n11950
n10870	p232	n8569
n10870	p232	n8762
n6720	p232	n10888
n6720	p232	n512
n21216	p3366	n11508
n7959	p2993	n5142
n16943	p786	n695
n6110	p801	n12786
n16744	p615	n3556
n17774	p615	n694
n13208	p615	n694
n13208	p2034	n7841
n13208	p2034	n5994
n13208	p2034	n5681
n5142	p1289	n18350
n5142	p1658	n9632
n5142	p1400	n16789
n5142	p1790	n19291
n2891	p1251	n13584
n2891	p1799	n269
n2891	p1857	n6627
n2891	p1350	n14962
n6626	p966	n2843
n6626	p966	n6715
n6626	p966	n11371
n6626	p966	n21535
n6626	p966	n6897
n5159	p1599	n16129
n5159	p1151	n11786
n8325	p1520	n4471
n8325	p1520	n10584
n2843	p2431	n18041
n2843	p232	n15493
n8322	p3006	n15767
n2892	p3895	n15466
n9378	p2980	n21777
n9378	p2980	n12010
n9378	p2980	n3779
n9378	p2980	n12693
n9378	p2980	n10092
n9378	p2980	n3100
n9378	p2980	n16786
n9378	p2980	n12374
n9378	p2980	n6108
n9378	p2980	n5142
n5142	p2267	n16789
n16786	p890	n12374
n5142	p1686	n6108
n3778	p3006	n2021
n6376	p3004	n8889
n9363	p1643	n8774
n8774	p1500	n4490
n8774	p1500	n18731
n9361	p3091	n9371
n9361	p3091	n9370
n9361	p3091	n9372
n10635	p258	n10215
n10635	p2090	n12692
n19870	p258	n18873
n19870	p15	n12686
n11074	p258	n12258
n12217	p258	n403
n5212	p3666	n12694
n5212	p2090	n12692
n5212	p3666	n14328
n18844	p2541	n4282
n9363	p3499	n16215
n9363	p3499	n16242
n16215	p2090	n12869
n4284	p1962	n14270
n4284	p1962	n582
n4284	p1962	n21908
n4284	p1962	n21910
n19688	p2946	n4284
n5221	p2034	n11275
n5221	p2034	n8799
n5221	p2034	n16171
n5221	p2034	n16003
n5221	p2034	n12697
n5221	p2034	n4877
n16222	p3666	n18836
n16171	p3666	n18730
n8964	p4100	n19704
n9363	p1678	n11349
n9363	p1678	n18875
n9363	p1678	n14911
n9363	p1678	n10491
n9363	p1678	n402
n9363	p1678	n12254
n9363	p1678	n18447
n9363	p1678	n21906
n16732	p890	n12589
n12589	p2346	n7393
n16813	p492	n9960
n9960	p3023	n12698
n12698	p854	n17900
n335	p3774	n12577
n12582	p3762	n9951
n12582	p3308	n12700
n12582	p3666	n17862
n12582	p3666	n18041
n337	p2914	n7398
n19914	p242	n6330
n3004	p2014	n20152
n12565	p2014	n19600
n12565	p2014	n11919
n12565	p2014	n3567
n12565	p3666	n17344
n12565	p3774	n618
n12565	p3774	n6907
n12565	p3666	n6138
n12582	p580	n9961
n9961	p969	n5221
n7747	p2406	n5142
n324	p3735	n4889
n4889	p613	n19680
n5580	p3210	n6156
n12582	p3023	n9947
n9947	p3023	n1704
n1704	p3023	n12728
n12728	p3023	n18047
n5142	p232	n16813
n16813	p749	n12550
n12548	p854	n4666
n5142	p3081	n4674
n5142	p3081	n6024
n5142	p3081	n11925
n5142	p3081	n1845
n18855	p932	n18097
n2655	p2014	n17792
n6797	p2014	n17792
n19337	p2014	n17792
n4887	p4049	n16813
n5142	p951	n15266
n4683	p4296	n20048
n3556	p3555	n11686
n3556	p3557	n15240
n4656	p2641	n21610
n6086	p672	n10769
n17774	p662	n9574
n13528	p3914	n8169
n5142	p714	n1554
n5142	p714	n1862
n5142	p714	n11932
n3665	p2083	n4870
n3668	p2486	n21606
n5142	p232	n18651
n18651	p2034	n4927
n18651	p2034	n4928
n18651	p615	n16175
n17326	p23	n15077
n2849	p3412	n17346
n5142	p2011	n8469
n2843	p84	n14559
n2843	p84	n11370
n2843	p84	n2837
n14708	p3499	n21550
n8460	p3499	n21550
n8563	p3499	n21550
n5612	p3499	n21546
n16798	p3695	n21119
n8660	p626	n10950
n3101	p2130	n3561
n5577	p854	n10754
n5615	p1507	n692
n17786	p1013	n4656
n1754	p3830	n15254
n6087	p3830	n15254
n16798	p3830	n15254
n5656	p2014	n4689
n14997	p3296	n20864
n10769	p2844	n5202
n3672	p2426	n15589
n2892	p2426	n19631
n5142	p2471	n18352
n16825	p492	n21336
n21336	p1994	n12861
n5142	p1493	n15293
n5142	p1493	n8388
n5142	p716	n12194
n5142	p716	n1500
n5142	p716	n7026
n5142	p951	n5330
n5142	p1490	n13330
n5142	p3557	n15478
n15478	p880	n5548
n5142	p232	n1810
n16825	p2034	n11607
n16825	p2034	n20675
n16825	p2034	n7127
n16825	p2034	n19109
n20675	p232	n18325
n11607	p232	n21098
n16825	p3391	n4368
n9705	p232	n6614
n6269	p3499	n16825
n13332	p3499	n16825
n1469	p3499	n16825
n15557	p3499	n16825
n9910	p3499	n16825
n16825	p232	n19291
n16825	p232	n6768
n5651	p626	n16825
n5142	p3926	n7815
n5142	p3926	n7033
n5453	p624	n3340
n2142	p2719	n19431
n15098	p3499	n16825
n7102	p30	n8571
n9108	p4031	n7912
n5142	p3735	n3414
n16825	p3549	n14517
n9444	p681	n7858
n8572	p3666	n11603
n15025	p3426	n7918
n5581	p883	n15004
n16797	p1070	n1292
n18855	p4292	n5142
n1347	p2014	n3372
n5142	p2375	n18293
n17326	p23	n9511
n5142	p232	n16926
n16926	p492	n12566
n16732	p2434	n2099
n16732	p2434	n8337
n12566	p84	n12861
n12566	p84	n2799
n2788	p615	n17344
n1575	p615	n17344
n10093	p653	n1391
n5224	p732	n2805
n5187	p3914	n9552
n9552	p3695	n5949
n5187	p3914	n9550
n9550	p84	n591
n9564	p899	n4580
n9564	p3565	n1390
n14405	p3709	n20828
n18889	p4246	n5247
n5187	p950	n5543
n5187	p950	n4467
n5543	p3734	n1391
n4467	p3734	n1391
n16802	p2121	n17202
n17202	p2090	n12591
n12591	p615	n9550
n19874	p765	n9549
n2547	p3628	n9550
n16802	p2899	n2809
n7841	p3274	n5791
n11181	p626	n3325
n2795	p3789	n19886
n2795	p3789	n489
n8346	p951	n1581
n9550	p3830	n2650
n2796	p3496	n17344
n17349	p3783	n3618
n16802	p653	n12013
n2790	p63	n18028
n9121	p882	n14230
n2803	p2835	n5202
n18882	p3597	n7193
n1391	p3044	n19530
n2791	p3735	n626
n16802	p3666	n12524
n16144	p665	n7393
n4430	p3023	n12711
n12711	p3081	n18049
n5211	p1592	n13357
n13357	p3344	n8751
n13357	p3344	n4017
n1161	p2121	n11431
n11431	p3625	n18292
n11431	p4116	n10623
n11431	p4116	n4358
n11431	p772	n4113
n11431	p772	n17614
n1161	p1009	n9040
n1161	p1017	n9035
n1161	p1017	n9038
n1161	p1017	n19183
n1161	p1017	n19182
n1161	p1017	n19197
n1161	p1017	n17333
n17333	p232	n18335
n11432	p2540	n18048
n5142	p951	n6217
n11429	p3021	n5142
n11430	p3666	n18102
n11430	p3666	n18096
n5142	p736	n20026
n16813	p749	n9736
n9732	p3023	n12711
n12711	p3081	n6128
n18560	p3402	n5242
n14700	p2298	n5142
n2182	p165	n17900
n7197	p477	n2182
n12718	p882	n20155
n21946	p3269	n5142
n21946	p3549	n19200
n21946	p3549	n14545
n21444	p883	n2180
n7520	p477	n12893
n7198	p699	n3865
n3865	p3734	n12729
n5339	p2542	n3864
n12821	p158	n12721
n21946	p749	n16527
n4937	p736	n21502
n17834	p2080	n8029
n8029	p626	n5796
n5129	p2034	n8962
n6996	p3274	n7197
n11500	p3274	n7197
n3458	p3274	n7197
n6996	p3666	n17862
n11500	p3666	n17862
n6997	p3308	n16526
n6997	p3666	n19183
n14700	p3434	n11774
n14700	p30	n8621
n21946	p125	n13947
n14700	p3775	n13947
n21946	p125	n20117
n14700	p3775	n20117
n21946	p125	n13622
n14700	p3775	n13622
n21946	p125	n8275
n14700	p3775	n8275
n21946	p125	n3057
n14700	p3775	n3057
n21946	p125	n8678
n14700	p3775	n8678
n21946	p125	n19486
n14700	p3775	n19486
n5142	p2276	n4973
n4973	p969	n10605
n14700	p4051	n3712
n3712	p3773	n12707
n12708	p4037	n17900
n7197	p3830	n20151
n12706	p2014	n20584
n19796	p81	n6040
n16825	p3666	n12515
n12514	p1994	n7389
n12711	p3023	n5330
n19948	p4037	n6157
n17585	p3269	n5142
n19943	p3549	n19948
n14083	p30	n8287
n3726	p30	n19946
n8360	p872	n6755
n9239	p3602	n12282
n9239	p3602	n2591
n1816	p221	n10495
n19948	p2014	n19600
n19948	p3666	n19183
n19948	p3666	n6762
n19948	p3666	n9913
n19948	p3666	n8703
n17547	p2090	n12283
n19948	p3308	n12282
n17547	p3666	n2592
n19948	p3774	n2591
n19948	p834	n12534
n17547	p1994	n12679
n19948	p2014	n12679
n17547	p1994	n19007
n19948	p2014	n19007
n17547	p1994	n1419
n19948	p2014	n1419
n19948	p4037	n6164
n19948	p54	n17930
n19948	p816	n15169
n16203	p126	n3537
n19947	p883	n6156
n19948	p3735	n4886
n19945	p3141	n5330
n14084	p3585	n20164
n19949	p3388	n11285
n5142	p2374	n18293
n16825	p84	n21326
n5142	p2159	n15966
n15966	p614	n12784
n5142	p2108	n17326
n5142	p3666	n8315
n2843	p3783	n5142
n4131	p501	n5232
n9106	p675	n5171
n3397	p3581	n17903
n7910	p1987	n2941
n5458	p501	n6138
n11078	p501	n19422
n5165	p1571	n768
n5165	p3935	n12601
n5165	p1257	n21598
n16825	p3506	n5165
n1070	p3353	n11584
n5142	p3524	n7801
n5142	p3524	n7032
n18093	p212	n6832
n18093	p212	n21285
n19291	p3371	n11118
n19291	p662	n9574
n5142	p232	n11929
n5142	p232	n1835
n5142	p232	n18647
n5142	p232	n1540
n18904	p2295	n5142
n3458	p2295	n5142
n19337	p2963	n5142
n2655	p2180	n5142
n6797	p2180	n5142
n3924	p4292	n17785
n5142	p492	n18364
n15602	p84	n3519
n15602	p84	n18142
n2843	p1992	n11370
n2843	p1992	n14559
n2843	p1992	n21534
n4471	p4293	n3378
n5582	p2014	n5202
n1616	p3666	n4860
n17785	p2014	n15589
n3665	p852	n10760
n12026	p2667	n5154
n20566	p3895	n15601
n2892	p2346	n5202
n8323	p3695	n4901
n16813	p1994	n7394
n9946	p3549	n12711
n12711	p992	n17900
n21015	p1043	n4920
n21015	p3700	n4030
n21015	p3273	n1880
n21015	p3273	n12686
n21015	p215	n5142
n17514	p3269	n5142
n3006	p3765	n21007
n13629	p899	n21011
n3126	p3666	n21007
n9384	p477	n19283
n2603	p3087	n2181
n17547	p3666	n21009
n21012	p4278	n4919
n16019	p2090	n15550
n1018	p3987	n14172
n21015	p3312	n641
n17547	p15	n19284
n10864	p1994	n1803
n21013	p3565	n17930
n1882	p4098	n17834
n4934	p992	n1796
n13635	p3774	n4919
n13635	p3666	n17996
n21002	p3308	n19283
n21010	p597	n2936
n4915	p2090	n18035
n1882	p4098	n17930
n3001	p852	n19280
n21015	p37	n12705
n21003	p3388	n14995
n19278	p3213	n1808
n9985	p555	n1294
n16813	p3666	n12549
n7390	p2090	n12711
n7351	p2034	n20391
n20391	p2616	n6493
n6493	p602	n4533
n4533	p3702	n12700
n12795	p615	n6156
n15838	p3273	n7351
n4636	p4109	n6156
n20022	p3449	n17900
n2325	p3449	n8711
n5985	p585	n8751
n4563	p978	n8474
n5124	p3666	n7354
n16052	p3371	n20022
n16052	p3371	n2325
n5985	p3069	n1749
n960	p3488	n4535
n5124	p3666	n961
n4536	p2829	n5985
n4536	p2519	n4563
n19823	p41	n4535
n19824	p2829	n5985
n19824	p2519	n4563
n5124	p951	n1423
n1423	p2090	n7536
n5124	p951	n11476
n11476	p2090	n9143
n8002	p3367	n6156
n16252	p3565	n12711
n4534	p497	n12925
